sr,data,date,param,siteid
1,0,1/1/2003, Precipitation,ACRE
2,0,1/2/2003, Precipitation,AlbertLea
3,11.31999969,1/3/2003, Precipitation,Ames
4,0,1/4/2003, Precipitation,Antigo
5,3.039999962,1/5/2003, Precipitation,Appleton
6,0.49000001,1/6/2003, Precipitation,Arlington
7,0,1/7/2003, Precipitation,Bean&Beet
8,,1/8/2003, Precipitation,Brookings
9,,1/9/2003, Precipitation,Brownstown
10,,1/10/2003, Precipitation,Columbia
11,,1/11/2003, Precipitation,Crookston
12,,1/12/2003, Precipitation,Dekalb
13,,1/13/2003, Precipitation,DixonSprings
14,1.049999952,1/14/2003, Precipitation,DPAC
15,0,1/15/2003, Precipitation,EastLansing
16,0.200000003,1/16/2003, Precipitation,EauClaire
17,1.279999971,1/17/2003, Precipitation,Freeport
18,0,1/18/2003, Precipitation,Hancock
